model,attacker,budget,samples,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,pr_auc
baseline,m4,100000.0,1400,0.8064285714285714,0.1761006289308176,0.8615384615384616,0.2924281984334204,0.8326418899452608,0.3341004464301006,0.8887409968308845,0.2968291972617254
baseline,m4,1000000.0,1400,0.7064285714285714,0.22243713733075435,0.9274193548387096,0.35881435257410293,0.806186166447568,0.36051730624571215,0.9076530741227626,0.5097525298359904
baseline,m4,100000000.0,1400,0.5221428571428571,0.2611174458380844,0.916,0.40638864241348716,0.6762608695652175,0.2790963696280397,0.7753391304347826,0.4257208669915571
baseline,m4,10000000000.0,1400,0.46,0.32974910394265233,0.9787234042553191,0.49329758713136734,0.6241273271276595,0.2736213824576251,0.7216498192320479,0.446822711525567
baseline,m5,1000.0,1400,0.9321428571428572,0.010638297872340425,0.3333333333333333,0.020618556701030927,0.6333810546408971,0.049288710687276915,0.9453591028394178,0.028490028490028494
baseline,m5,10000.0,1400,0.8928571428571429,0.06535947712418301,0.5882352941176471,0.11764705882352942,0.7424184424312024,0.17019714112064357,0.9121049721407001,0.08124063460716907
baseline,m5,100000.0,1400,0.8085714285714286,0.15723270440251572,1.0,0.2717391304347826,0.9007407407407407,0.35499169125751123,0.8994814814814814,0.17684105697280936
baseline,m5,1000000.0,1400,0.72,0.24177949709864605,1.0,0.38940809968847356,0.8462745098039215,0.4091994057631861,0.9027262745098039,0.3384408500738313
baseline,m5,100000000.0,1400,0.6392857142857142,0.4241733181299886,1.0,0.5956765412329863,0.7543774319066148,0.46454304289099846,0.8679840801640099,0.5932009323295883
baseline,m5,10000000000.0,1400,0.7192857142857143,0.6487455197132617,0.9986206896551724,0.7865290602933188,0.7089399744572158,0.5192555597828672,0.8650257982120051,0.8264200264311176
min_indicpass_baseline,m4,1000.0,1400,0.9321428571428572,0.10377358490566038,1.0,0.18803418803418803,0.9658027357811375,0.3109277078385674,0.945906145690163,0.0693312344479821
min_indicpass_baseline,m4,10000.0,1400,0.8914285714285715,0.21649484536082475,1.0,0.3559322033898305,0.9440353460972017,0.43847773851828326,0.9322357809103022,0.21312947694493029
min_indicpass_baseline,m4,100000.0,1400,0.7935714285714286,0.18,0.9692307692307692,0.30361445783132524,0.8771247479112647,0.3665081766369295,0.9447651973494671,0.363760150848181
